Date,Close/Last,Volume,Open,High,Low
09/01/2023,$189.46,45766500,$189.485,$189.92,$188.28
08/31/2023,$187.87,60794470,$187.84,$189.12,$187.48
08/30/2023,$187.65,60813890,$184.94,$187.85,$184.74
08/29/2023,$184.12,53003950,$179.695,$184.90,$179.50
08/28/2023,$180.19,43820700,$180.09,$180.59,$178.545
08/25/2023,$178.61,51449590,$177.38,$179.15,$175.82
08/24/2023,$176.38,54945800,$180.674,$181.104,$176.01
08/23/2023,$181.12,52722750,$178.52,$181.55,$178.325
08/22/2023,$177.23,42084250,$177.06,$177.68,$176.25
08/21/2023,$175.84,46311880,$175.07,$176.13,$173.735
08/18/2023,$174.49,61172150,$172.30,$175.10,$171.96
08/17/2023,$174.00,66062880,$177.14,$177.5054,$173.48
08/16/2023,$176.57,46964860,$177.13,$178.54,$176.50
08/15/2023,$177.45,43622590,$178.88,$179.48,$177.05
08/14/2023,$179.46,43675630,$177.97,$179.69,$177.305
08/11/2023,$177.79,52036670,$177.32,$178.62,$176.55
08/10/2023,$177.97,54686850,$179.48,$180.75,$177.60
08/09/2023,$178.19,60378490,$180.87,$180.93,$177.01
08/08/2023,$179.80,67823000,$179.69,$180.27,$177.58
08/07/2023,$178.85,97576070,$182.13,$183.13,$177.35
08/04/2023,$181.99,115956800,$185.52,$187.38,$181.92
08/03/2023,$191.17,62243280,$191.57,$192.37,$190.69
